isbn,user_id,rating
0-139487468,CHERINET.BIS1,5
0-139487468,KALEAB.WON2,5
0-139487468,ESHETU.BAL1,5
0-139487468,FIRDOS.KAS1,5
0-139487468,REHMET.MUH2,5
0-139487468,MOHAMMED.AHM12,5
0-139487468,KALEB.KET1,5
0-139487468,KALEB.KET1,5
0-139487468,MEKETE.NIG1,5
0-139487468,YORDANOS.HUS1,5
0-139487468,HAILE.FIK1,5
0-139487468,AGEGNEHU.ARE1,5
0-139487468,SENAY.ASF1,5
0-139487468,ALEMIE.DES1,5
0-139487468,MEBRATU.ABE2,5
0-139487468,MEBRATU.ABE2,5
0-139487468,ARYAM.TEW1,5
0-139487468,KHALID.MUR1,5
0-139487468,MULUNEH.SIS1,5
0-139487468,BIRTUKAN.LAK3,5
0-139487468,BIRTUKAN.LAK3,5
0-139487468,EYOBELEYU.MUC1,5
0-139487468,ABEL.BEZ1,5
0-139487468,ABEL.BEZ1,5
0-139487468,YEABSIRA.BEK1,5
0-139487468,MIKAEL.FEK1,5
0-139487468,NATHAN.ALM1,5
0-139487468,TESFAYE.BEK4,5
0-139487468,BEREKET.DEB2,5
0-139487468,WORKE.TAM1,5
0-139487468,ASRAT.TAD1,5
0-139487468,GENEMO.DEM1,5
0-139487468,MEBRATU.MAR2,5
0-139487468,NURALLAH.ADE1,5
0-139487468,SISAY.YIG1,5
0-139487468,AMHARE.MIH1,5
0-139487468,MEDINA.HAS2,5
0-139487468,ABEBE.GET14,5
0-139487468,AYCHEW.BIR1,5
0-139487468,TAMIRU.FAN1,5
0-139487468,SARON.ESA1,5
0-139487468,REDIET.ADN1,5
0-139487468,GBEREMESKEL.ESU1,5
0-139487468,HABTAMU.GET16,5
0-139487468,KASAHUN.KAM1,5
0-139487468,HAILEMARKOS.MOG1,5
0-139487468,ABEL.AYA3,5
0-139487468,MERON.ABE4,5
0-139487468,MEKLIT.SEL1,5
0-139487468,NETSANET.DES4,5
0-139487468,TEMESGEN.MER3,5
0-139487468,TEMESGEN.MER3,5
0-139487468,AYSANEWM.MAR1,5
0-139487468,MULETA.SHI1,5
0-139487468,ASNAKE.TOL2,5
0-139487468,MUZEYIN.FAN1,5
0-139487468,FTALEW.TSA1,5
0-139487468,HUSSEN.JEB1,5
0-139487468,SEYFADIN.SHA1,5
0-139487468,HERMELA.TIL1,5
0-139487468,TSEGENET.MET1,5
0-139487468,LIDYA.ABA1,5
0-139487468,KHALID.MOH1,5
0-139487468,EDOMGENET.JIB1,5
0-139487468,DANIEL.MIN1,5
0-139487468,EUEL.ALE1,5
0-139487468,ROBEL.MIN1,5
0-139487468,MINWYELET.ADA1,5
0-139487468,NAHOSENAY.DEJ1,5
0-139487468,SELAM.BIR3,5
0-139487468,YIDIDIYA.WIB1,5
0-139487468,EYOB.TEF2,5
0-139487468,HAILEGEBRIEL.FIK1,5
0-139487468,BIRTUKAN.ASM5,5
0-139487468,ERMIYAS.END3,5
0-139487468,DESALEGN.ENE1,5
0-139487468,NURHUSSEN.KAS1,5
0-139487468,WOSIN.ATI1,5
0-139487468,KEDIR.HUS6,5
0-139487468,MEKDES.ADD3,5
0-139487468,TIBEBU.TAD1,5
0-139487468,BEZAWIT.KAS2,5
0-139487468,ANMUT.END2,5
0-139487468,MOGES.ASS1,5
0-139487468,AYANAW.BAY1,5
0-139487468,BEHILU.MUL1,5
0-139487468,BEHILU.MUL1,5
0-139487468,EYERUS.AGE1,5
0-139487468,KESSIE.TIL1,5
0-139487468,NADIYA.ALE1,5
0-139487468,WINTANA.GET1,5
0-139487468,BETSENAT.JEM1,5
0-139487468,MULLUALEM.WOL1,5
0-139487468,HAILEMARIAM.YES1,5
0-139487468,KALKIDAN.ADG1,5
0-139487468,WERKU.TIG1,5
0-139487468,BIRHANU.TIB3,5
0-139487468,NATNAEL.MER1,5
0-139487468,YEMESERACH.BEW1,5
0-139487468,BEMNET.MEN1,5
0-139487468,YOSEPH.WOL1,5
0-139487468,YOSEPH.WOL1,5
0-139487468,AMANUEL.AND2,5
0-139487468,HANA.ADA1,5
0-139487468,RSKEY.ADG1,5
0-139487468,MEKDES.DAN1,5
0-139487468,TIZAZU.ADA1,5
0-139487468,HABTAMU.BER4,5
0-139487468,MAHLET.TIL2,5
0-139487468,HABTAMU.CHO1,5
0-139487468,HABTAMU.CHO1,5
0-139487468,HABTAMU.CHO1,5
0-139487468,BISHAW.GET1,5
0-139487468,DAGMAWI.TEW1,5
0-139487468,ABERE.ASH1,5
0-139487468,GETASEW.BIT1,5
0-139487468,HAILEYESUS.ASM1,5
0-139487468,ABEBE.GTE1,5
0-139487468,TSION.FAS1,5
0-139487468,GENETU.AYE1,5
0-139487468,AMBACHEW.GIS2,5
0-139487468,HANAN.MOH3,5
0-139487468,HANAN.MOH3,5
0-139487468,HAYAT.NUR1,5
0-139487468,RADIA.ABU1,5
0-139487468,YAHYA.ABD1,5
0-139487468,ALEMUU.BEL1,5
0-139487468,MELAT.GEZ1,5
0-139487468,YARED.ASS4,5
0-139487468,GETAWA.ANT1,5
0-139487468,LISANU.BIT1,5
0-139487468,AMANUEL.ENG1,5
0-139487468,FITALEW.END1,5
0-139487468,ZELEALEM.YIT1,5
0-139487468,ALEMAYEHU.DIB1,5
0-139487468,ALEMTESFA.BIR1,5
0-139487468,ESUYAWKAL.MEN1,5
0-139487468,FIREHIWOT.MOL1,5
0-139487468,YALEMTSEHAY.CHA1,5
0-139487468,FENTAHUN.BAY2,5
0-139487468,HABEKE.FIK1,5
0-139487468,ENDALK.SIN2,5
0-139487468,ENIDEG.BEL1,5
0-139487468,MULUSEW.SEW1,5
0-139487468,BEREKET.TAD4,5
0-139487468,TADESSE.CHE2,5
0-139487468,HABTAMU.ASC1,5
0-139487468,NATNAEL.MOG2,5
0-139487468,SARA.ALE1,5
0-139487468,ABRHAM.YIL1,5
0-139487468,DIBORA.TEF1,5
0-139487468,HABTAMU.NIG3,5
0-139487468,ABLENE.YEN1,5
0-139487468,ENDRIAS.ABE2,5
0-139487468,MICHAEL.DES1,5
0-139487468,SMACHEW.FEK1,5
0-139487468,YIBELTAL.AEM1,5
0-139487468,MIKIYAS.WON2,5
0-139487468,NARDOS.GET5,5
0-139487468,NARDOS.GET5,5
0-139487468,AHADU.GET1,5
0-139487468,TIBEBE.SOL2,5
0-139487468,TINBIT.GET1,5
0-139487468,TIRSIT.TES1,5
0-139487468,BEAMLAK.ALE1,5
0-139487468,SILENAT.AYE1,5
0-139487468,SILENAT.AYE2,5
0-139487468,WEYNSHET.GEB1,5
0-139487468,YONATHAN.EMI1,5
0-139487468,ENDALK.DAG1,5
0-139487468,TIKUYE.KAS1,5
0-139487468,ABDELHAMID.EDR1,5
0-139487468,HAYAT.MOH6,5
0-139487468,MULUGETA.DEF1,5
0-139487468,AMINA.WON1,5
0-139487468,ZENASH.ZEL1,5
0-139487468,SARA.SOL1,5
0-139487468,YOSEF.ABE2,5
0-139487468,YOSEF.ABE2,5
0-139487468,MESARET.YEN1,5
0-139487468,BINIAM.END1,5
0-139487468,ALAZAR.DEM1,5
0-139487468,BIKILA.HUN1,5
0-139487468,FIRHIWOT.ZER1,5
0-139487468,GETASIL.MEK1,5
0-139487468,ABDI.WAK2,5
0-139487468,YESEHAK.TAY1,5
0-139487468,YESEHAK.TAY1,5
0-139487468,YITAYAL.BAS1,5
0-139487468,TAMIRAT.TEK1,5
0-139487468,YARED.TAM2,5
0-139487468,MELESE.FIS1,5
0-139487468,YIDIDIYA.DAG1,5
0-139487468,YIDIDIYA.DAG1,5
0-139487468,DAWIT.BEL4,5
0-139487468,DAWIT.BEL4,5
0-139487468,ENDAYLALU.GOB1,5
0-139487468,ASTER.YIR1,5
0-139487468,ASTER.YIR1,5
0-139487468,MELKAMU.YEB1,5
0-139487468,ATALEL.BEL1,5
0-139487468,DEREJE.SEB1,5
0-139487468,YOHANNES.BEG1,5
0-139487468,KIBIR.MOL1,5
0-139487468,GETACHEW.TEM1,5
0-139487468,GELETA.MEK1,5
0-139487468,HAREGUA.DEM1,5
0-139487468,YOHANNES.ADM2,5
0-139487468,YESHI.GEL1,5
0-139487468,KIDEST.ADM1,5
0-139487468,KIDEST.ADM1,5
0-139487468,HABTAMU.KAS5,5
0-139487468,MEQUANINT.TAR1,5
0-139487468,MILLION.ABE2,5
0-139487468,FEVEN.EYA1,5
0-139487468,GEBRETSADIK.SHI1,5
0-139487468,YETEMEGN.TAR1,5
0-139487468,MEKDES.KET1,5
0-139487468,YOHANAN.GOR1,5
0-139487468,AABESELOM.MEK1,5
0-139487468,TEKLEMARYAM.ASN1,5
0-139487468,TIZAZU.CHA1,5
0-139487468,TSEGAMLAK.ERK1,5
0-139487468,MINTESINOT.KIB1,5
0-139487468,NAHOM.ABE3,5
0-139487468,BIRHANU.MEL4,5
0-139487468,ABERE.MUL2,5
0-139487468,ABRAHAM.TOL1,5
0-139487468,FIKIRTE.BIZ1,5
0-139487468,ABEL.YOH2,5
0-139487468,ADINA.TSF1,5
0-139487468,BIRUK.AYN1,5
0-139487468,ESRAEL.GER2,5
0-139487468,YAPHET.SIN1,5
0-139487468,YETIMWORK.NEG1,5
0-139487468,EYOB.ELI2,5
0-139487468,ASMARE.ABE1,5
0-139487468,KIDIST.SIL1,5
0-139487468,YABSIRA.BEY1,5
0-139487468,HANAN.AHM3,5
0-139487468,DAWUD.ADE1,5
0-139487468,BAYE.KAS2,5
0-139487468,HANNA.WAK1,5
0-139487468,KEWULAT.KED1,5
0-139487468,ABDUNASIR.RES1,5
0-139487468,KIRUBEL.ZEW1,5
0-139487468,BIRUCK.GET1,5
0-139487468,KIDANU.WUD1,5
0-139487468,GETAHUN.ENY1,5
0-139487468,GZACHEW.ASM1,5
0-139487468,ABEREHAM.BIN1,5
0-139487468,MEKDELAWIT.TEW2,5
0-139487468,MESERET.ADD3,5
0-139487468,MESERET.ADD3,5
0-139487468,ABDUSEMED.MOH1,5
0-139487468,NIMONA.TAJ1,5
0-139487468,TADLO.AMA1,5
0-139487468,ELSHADAY.WOL1,5
0-139487468,AMARECH.SIM1,5
0-139487468,BEREKET.SIY1,5
0-139487468,BEREKET.SIY1,5
0-139487468,YOHANNES.BEG2,5
0-139487468,ADDIS.KET2,5
0-139487468,HENOCK.ABO1,5
0-139487468,BETESIDA.ZER1,5
0-139487468,BETESIDA.ZER1,5
0-139487468,MIHRET.HAI1,5
0-139487468,PHILADELIPHIA.WOL1,5
0-139487468,MICHAEL.MES1,5
0-139487468,FIRTUNA.ESH1,5
0-139487468,ABEBE.ALE18,5
0-139487468,ABEBE.ALE18,5
0-139487468,HABTAMU.TES15,5
0-139487468,SOSNA.TES1,5
0-139487468,MRO.BIR1,5
0-139487468,YAREGAL.MEN1,5
0-139487468,HAYAT.YIM4,5
0-139487468,SAMRAWIT.TEF2,5
0-139487468,KALEB.MER1,5
0-139487468,YIDNEKACHEW.SHE1,5
0-139487468,SELAM.TES6,5
0-139487468,AMARE.SHE2,5
0-139487468,NATNAEL.FIR1,5
0-139487468,EYOB.GET7,5
0-139487468,BIRHAN.ADA2,5
0-139487468,ABYENEZER.GOY1,5
0-139487468,ABEL.ALE9,5
0-139487468,TAZEBEW.TAK1,5
0-139487468,TAZEBEW.TAK1,5
0-139487468,HELEN.GEL2,5
0-139487468,MENGISTU.ALE4,5
0-139487468,YOHANNES.ASH3,5
0-139487468,HABTAMU.ADU2,5
0-139487468,GELILA.NEW1,5
0-139487468,MAHLET.MES1,5
0-139487468,MAHLET.MES1,5
0-139487468,SUDEYIS.MUS1,5
0-139487468,ERMIAS.KIN1,5
0-139487468,EYERUS.EYA3,5
0-139487468,EYERUS.BAH1,5
0-139487468,MEHERET.GEB1,5
0-139487468,NATNAEL.MUL1,5
0-139487468,ETSUB.WEH1,5
0-139487468,ABEBAW.KAS3,5
0-139487468,TADESSE.FIR1,5
0-139487468,YOHANNES.SEL1,5
0-139487468,YOHANNES.SEL1,5
0-139487468,ABAAL.ADE1,5
0-139487468,NATNAEL.ASE1,5
0-139487468,NATNALE.MUL1,5
0-139487468,YEABSIRA.AMD1,5
0-139487468,SOLOMON.KAS8,5
0-139487468,BELAYNESH.FEK1,5
0-139487468,MEDIHANIT.FIR1,5
0-139487468,HAYAT.MAH2,5
0-139487468,BILEN.DEG1,5
0-139487468,GETASEW.HAG1,5
0-139487468,HAMIZA.HAM1,5
0-139487468,REHIMET.AUM1,5
0-139487468,REHIMET.AUM1,5
0-139487468,HABTAMU.WON2,5
0-139487468,YESUF.MUH2,5
0-139487468,YESUF.MUH2,5
0-139487468,RUFAEL.WOR1,5
0-139487468,ASHENAFI.ALI1,5
0-139487468,MOHAMMED.HAS7,5
0-139487468,YIGEZAL.AGE1,5
0-139487468,ALEMNEH.KAS1,5
0-139487468,AMANUEL.YOS3,5
0-139487468,DAWIT.ALE12,5
0-139487468,YONATAN.ASS1,5
0-139487468,MEKIBIB.BAY1,5
0-139487468,KIDUS.YIS1,5
0-139487468,KIDUS.YIS1,5
0-139487468,KIDUS.YIS1,5
0-139487468,BALEMUAL.KIB1,5
0-139487468,MIHIRET.GET3,5
0-139487468,DESTA.WON1,5
0-139487468,ALAYU.ALE1,5
0-139487468,ESUBALEW.KAS3,5
0-139487468,DAGIM.KAS1,5
0-139487468,BEMENT.DER1,5
0-139487468,MEKEDES.SOL1,5
0-139487468,NATNAEL.AYE2,5
0-139487468,BETHELHEM.DES1,5
0-139487468,MIRTNAT.TAD1,5
0-139487468,DAGMAWIT.MEK2,5
0-139487468,DAGMAWIT.MEK2,5
0-139487468,MESFIN.SIS1,5
0-139487468,TEMESGEN.AYA6,5
0-139487468,TIRU.WOG1,5
0-139487468,TIRU.WOG1,5
0-139487468,ZIGIJU.MUL1,5
0-139487468,ALEMNEH.MOL1,5
0-139487468,SAMUEL.MEK4,5
0-139487468,YESHAMBEL.GAS2,5
0-139487468,AMANUEL.BIR3,5
0-139487468,TADILO.GUA1,5
0-139487468,AFOMIYA.BER1,5
0-139487468,AFOMIYA.BER1,5
0-139487468,MENKIR.TIB1,5
0-139487468,SAMUEL.BAN1,5
0-139487468,YOHANNES.DEG3,5
0-139487468,TSEGAZEAB.DER1,5
0-139487468,TSEGAZEAB.DER1,5
0-139487468,ASEFU.NIG3,5
0-139487468,ADELEGN.BIR1,5
0-139487468,BEREKET.SIS2,5
0-139487468,EPHRATA.ABR1,5
0-139487468,MIKEYAS.SAM1,5
0-139487468,SNEWERK.DUB1,5
0-139487468,MESAFINT.CHA2,5
0-139487468,ENDALKACHEW.MAR1,5
0-139487468,HAYAT.KAS2,5
0-139487468,HAYAT.KAS2,5
0-139487468,HELEN.MEL1,5
0-139487468,CHALIE.ABR1,5
0-139487468,FEKADU.ASM2,5
0-139487468,SIMEGNEW.BAY1,5
0-139487468,ERMIAS.MEN1,5
0-139487468,ERMIAS.MEN1,5
0-139487468,ERMIAS.MEN1,5
0-139487468,KIDANE.TES3,5
0-139487468,RAHEL.BUZ1,5
0-139487468,HALA.SEI1,5
0-139487468,HALA.SEI1,5
0-139487468,FEVEN.AKA1,5
0-139487468,HELEN.JEN2,5
0-139487468,KIDIST.MAN1,5
0-139487468,AMANUEL.SIS5,5
0-139487468,AMANUEL.SIS5,5
0-139487468,YEDEMIE.ANT1,5
0-139487468,ZELALEM.HIL1,5
0-139487468,ZELALEM.HIL1,5
0-139487468,BEWEKETU.TEF1,5
0-139487468,SOLOMON.ESH4,5
0-139487468,MIHIRETAB.SIM1,5
0-139487468,NAHOM.ESH1,5
0-139487468,ZERESENAY.GED1,5
0-139487468,NAHOM.TAM1,5
0-139487468,YIDIDIYA.BIR1,5
0-139487468,EYASU.BEK3,5
0-139487468,SAMRAWIT.ZER3,5
0-139487468,ESEYAS.TAM1,5
0-139487468,NAHOM.NIG1,5
0-139487468,MIKIAS.MOL1,5
0-139487468,MIKIAS.MOL1,5
0-139487468,NETSANET.ABE2,5
0-139487468,LIYAT.ALE1,5
0-139487468,MIHRET.ALE2,5
0-139487468,REDIET.AMA1,5
0-139487468,MEBRATU.MEK1,5
0-139487468,MEBRATU.MEK1,5
0-139487468,MIHIRET.AYE2,5
0-139487468,YOHANIS.MIT1,5
0-139487468,TEWODROS.NGU1,5
0-139487468,YOHANNES.ADM1,5
0-139487468,ALEMESHET.BIR1,5
0-139487468,SELAMAWIT.ESH4,5
0-139487468,ZEYNIYA.NUR1,5
0-139487468,EDEN.BEK3,5
0-139487468,LIYA.ABU1,5
0-139487468,LIYA.ABU1,5
0-139487468,SELAM.SHI2,5
0-139487468,MAHLET.YIM1,5
0-139487468,MAHLET.YIM1,5
0-139487468,REDIET.ABA2,5
0-139487468,HABTAMU.TAD12,5
0-139487468,METAGES.GER1,5
0-139487468,TSEHAYE.ABE2,5
0-139487468,BEHEYLIE.MEQ1,5
0-139487468,ETHIOPIA.MUL2,5
0-139487468,MULUGETA.DEM1,5
0-139487468,WENDESEN.MEL1,5
0-139487468,ADAWE.DAN1,5
0-139487468,ADAWE.DAN1,5
0-139487468,BLEN.HAI1,5
0-139487468,WUBAYEHU.MOS1,5
0-139487468,TINIYAM.MIH1,5
0-139487468,MAHLET.KAS4,5
0-139487468,HENOK.YAR1,5
0-139487468,NAHOM.BIR2,5
0-139487468,SIMACHEW.MAE1,5
0-139487468,BINIAM.DEG1,5
0-139487468,EYASU.MEZ1,5
0-139487468,MASRESHA.ABE3,5
0-139487468,SEBLE.KEF1,5
0-139487468,MELAKU.DES4,5
0-139487468,MERON.TAR2,5
0-139487468,BANCHI.GAS1,5
0-139487468,SEWBESEW.BEL1,5
0-139487468,TAREKEGN.GET3,5
0-139487468,EDEN.BEK2,5
0-139487468,EDEN.BEK2,5
0-139487468,EDEN.BEK2,5
0-139487468,SEYFEMELIKOT.WAS1,5
0-139487468,SEYFEMELIKOT.WAS1,5
0-139487468,DANIEL.ASS5,5
0-139487468,DANIEL.ASS5,5
0-139487468,BEKALU.DIA1,5
0-139487468,GIRUM.WON1,5
0-139487468,GIRUM.WON1,5
0-139487468,TINSAE.ABI1,5
0-139487468,BEZAWIT.SOL2,5
0-139487468,BEZAWIT.SOL2,5
0-139487468,MELKAMU.KEB3,5
0-139487468,NATNAEL.TIB3,5
0-139487468,NATNAEL.TIB3,5
0-139487468,BINIYAM.WAL1,5
0-139487468,TINSAE.DAG1,5
0-139487468,TINSAE.DAG1,5
0-139487468,ETSUBDNK.ABE1,5
0-139487468,BIRUK.FEK2,5
0-139487468,KALEAB.MEN2,5
0-139487468,KALEAB.MEN2,5
0-139487468,HABTAMU.TES14,5
0-139487468,YACOB.TAD1,5
0-139487468,MAHDEREWORK.ELI1,5
0-139487468,ADISU.AYA1,5
0-139487468,AMANUEL.JEM3,5
0-139487468,SENA.ABD1,5
0-139487468,YOHANES.BIR1,5
0-139487468,HANA.MUL4,5
0-139487468,DESSALEGN.MUL2,5
0-139487468,YOREDANOS.TES1,5
0-139487468,YOREDANOS.TES1,5
0-139487468,AMLAKU.YIG1,5
0-139487468,ERMIAS.DAN1,5
0-139487468,TEBIBU.SOL5,5
0-139487468,TEBIBU.SOL5,5
0-139487468,YOHANNES.BEJ1,5
0-139487468,YISHAK.MUL1,5
0-139487468,DAGMAWI.ZEL1,5
0-139487468,MIKIR.KIN1,5
0-139487468,AIESHA.KEB1,5
0-139487468,MESERET.ALE11,5
0-139487468,MOHAMMED.ALI6,5
0-139487468,ZELALEM.TES6,5
0-139487468,ERMIYAS.IND1,5
0-139487468,BETHLEHEM.BER1,5
0-139487468,BETHLEHEM.BER1,5
0-139487468,BETHLEHEM.BER1,5
0-139487468,EYOB.ABA3,5
0-139487468,KALEAB.SIY1,5
0-139487468,KALKIDAN.SHE2,5
0-139487468,DESYIBELEW.BIR1,5
0-139487468,BIRHANEMESKEL.BIR1,5
0-139487468,ADANE.ALE4,5
0-139487468,EYOAIL.KEB1,5
0-139487468,BIRILIE.MEN1,5
0-139487468,TAGASHE.BIR1,5
0-139487468,SEMEREDIN.HUS1,5
0-139487468,NATNAEL.BAZ1,5
0-139487468,GENETI.ABI1,5
0-139487468,GETACHEW.WAS2,5
0-139487468,YIBELTAL.FIS1,5
0-139487468,TEBIBU.SOL6,5
0-139487468,TEBIBU.SOL6,5
0-139487468,MICHAEL.ALE4,5
0-139487468,FEVEN.YAD1,5
0-139487468,MESAY.AKL1,5
0-139487468,YASIN.MOH2,5
0-139487468,HAAMMAD.WOE1,5
0-139487468,KEDIR.MOH8,5
0-139487468,TESHOME.TAD3,5
0-139487468,FIREHIWOTE.MEL1,5
